Longitude,Latitude,id,RSRP,L,FB,PCI,RSRQ,RSSI,RSP,D,SINR,Hb,Hm,Husr,deltaH,LOS,UCI,CCI
12.520086,55.779624,143,-68.55,600.115413,811,64,-12.95,-48.48,18,600.7917766748814,20.75,60,1.5,37.0,23.0,False,14,14
12.520082,55.779618,144,-67.53,600.8281519999999,811,64,-13.01,-47.45,18,601.5037142327012,20.98,60,1.5,37.0,23.0,False,14,14
12.52008,55.779614,145,-67.53,601.288557,811,64,-13.01,-47.45,18,601.9636025368495,20.98,60,1.5,37.0,23.0,False,14,14
12.520077,55.779611,146,-67.53,601.667058,811,64,-13.01,-47.45,18,602.3416793501636,20.98,60,1.5,37.0,23.0,False,14,14
12.520074,55.779607,147,-67.53,602.149596,811,64,-13.01,-47.45,18,602.8236773410308,20.98,60,1.5,37.0,23.0,False,14,14
12.520072,55.779603,148,-67.53,602.609999,811,64,-13.01,-47.45,18,603.2835659080894,20.98,60,1.5,37.0,23.0,False,14,14
12.520069,55.779599,149,-67.53,603.092536,811,64,-13.01,-47.45,18,603.7655645852215,20.98,60,1.5,37.0,23.0,False,14,14
12.520066,55.779595,150,-67.53,603.575074,811,64,-13.01,-47.45,18,604.2475651205435,20.98,60,1.5,37.0,23.0,False,14,14
12.520063,55.779591,151,-67.53,604.057612,811,64,-13.01,-47.45,18,604.7295665131171,20.98,60,1.5,37.0,23.0,False,14,14
12.52006,55.779587,152,-66.06,604.54015,811,64,-13.02,-45.98,18,605.2115687608941,21.06,60,1.5,37.0,23.0,False,14,14
12.520057,55.779583,153,-66.06,605.02269,811,64,-13.02,-45.98,18,605.6935738596177,21.06,60,1.5,37.0,23.0,False,14,14
12.520055,55.779579,154,-66.06,605.4830890000001,811,64,-13.02,-45.98,18,606.1534632953786,21.06,60,1.5,36.0,24.0,False,14,14
12.520052,55.779576,155,-66.06,605.8615990000001,811,64,-13.02,-45.98,18,606.5315549440415,21.06,60,1.5,36.0,24.0,False,14,14
12.520049,55.779572,156,-66.06,606.3441389999999,811,64,-13.02,-45.98,18,607.0135623687919,21.06,60,1.5,36.0,24.0,False,14,14
12.520046,55.779568,157,-66.06,606.8266799999999,811,64,-13.02,-45.98,18,607.4955716380344,21.06,60,1.5,36.0,24.0,False,14,14
12.520043,55.779564,158,-66.06,607.309221,811,64,-13.02,-45.98,18,607.9775817508626,21.06,60,1.5,36.0,24.0,False,14,14
12.520041,55.77956,159,-66.06,607.769616,811,64,-13.02,-45.98,18,608.4374710130759,21.06,60,1.5,36.0,24.0,False,14,14
12.520036,55.779554,160,-65.53,608.504502,811,64,-13.0,-45.32,18,609.1715513336683,24.46,60,1.5,36.0,24.0,False,14,14
12.520034,55.779549,161,-65.53,609.068923,811,64,-13.0,-45.32,18,609.7353548584664,24.46,60,1.5,36.0,24.0,False,14,14
12.520032,55.779545,162,-65.53,609.529322,811,64,-13.0,-45.32,18,610.1952510285373,24.46,60,1.5,36.0,24.0,False,14,14
12.520029,55.779541,163,-65.53,610.0118610000001,811,64,-13.0,-45.32,18,610.677263831464,24.46,60,1.5,36.0,24.0,False,14,14
12.520027,55.779537,164,-65.53,610.472261,811,64,-13.0,-45.32,18,611.1371625506439,24.46,60,1.5,36.0,24.0,False,14,14
12.520024,55.779533,165,-65.53,610.9547990000001,811,64,-13.0,-45.32,18,611.6191759756479,24.46,60,1.5,36.0,24.0,False,14,14
12.520022,55.779529,166,-65.53,611.415201,811,64,-13.0,-45.32,18,612.0790782357051,24.46,60,1.5,36.0,24.0,False,14,14
12.520019,55.779525,167,-65.53,611.897739,811,64,-13.0,-45.32,18,612.5610932742236,24.46,60,1.5,36.0,24.0,False,14,14
12.520017,55.779521,168,-64.23,612.358143,811,64,-13.0,-43.98,18,613.020999068065,27.0,60,1.5,36.0,24.0,False,14,14
12.520014,55.779517,169,-64.23,612.840679,811,64,-13.0,-43.98,18,613.5030137148318,27.0,60,1.5,36.0,24.0,False,14,14
12.520012,55.779513,170,-64.23,613.3010850000001,811,64,-13.0,-43.98,18,613.962923035404,27.0,60,1.5,36.0,24.0,False,14,14
12.52001,55.779509,171,-64.23,613.761492,811,64,-13.0,-43.98,18,614.4228340988525,27.0,60,1.5,36.0,24.0,False,14,14
12.520007,55.779505,172,-64.23,614.2440270000001,811,64,-13.0,-43.98,18,614.9048501233153,27.0,60,1.5,36.0,24.0,False,14,14
12.520005,55.779501,173,-64.23,614.704436,811,64,-13.0,-43.98,18,615.3647647030808,27.0,60,1.5,36.0,24.0,False,14,14
12.520003,55.779497,174,-64.23,615.164848,811,64,-13.0,-43.98,18,615.824683018522,27.0,60,1.5,36.0,24.0,False,14,14
12.52,55.779493,175,-64.23,615.647382,811,64,-13.0,-43.98,18,616.3067004044772,27.0,60,1.5,36.0,24.0,False,14,14
12.519997,55.779487,176,-66.48,616.338003,811,64,-12.96,-46.4,18,616.996583411957,25.95,60,1.5,36.0,24.0,False,14,14
